BIO Studiestart,5000 - Det Natur- og Biovidenskabelige Fakultet,%23SPLUS80970B
5070-B5-5F17;Botanik i praksis,5070 - Institut for Geovidenskab og Naturforvaltning,66533
5070-B5-5F17;Â§3 i praksis - Naturbeskyttelsesloven,5070 - Institut for Geovidenskab og Naturforvaltning,66532
5070-B5-5F17;GrÃ¸nne tage,5070 - Institut for Geovidenskab og Naturforvaltning,66534
5070-B5-5F17;Vildtpleje og vildtforvaltning,5070 - Institut for Geovidenskab og Naturforvaltning,66537
5070-B5-5F17;GIS,5070 - Institut for Geovidenskab og Naturforvaltning,66536
5070-B5-5F17;JuletrÃ¦er og pyntegrÃ¸nt,5070 - Institut for Geovidenskab og Naturforvaltning,66535
5070-B5-5F17;TrÃ¦produktion,5070 - Institut for Geovidenskab og Naturforvaltning,66538
2200-B5-5F17;LineÃ¦re modeller,2200 - Ã˜konomisk Institut,67038
3670-B2-2E17;Applied programming for Biosciences,3670 - Institut for Klinisk VeterinÃ¦r- og Husdyrsvidenskab,72788
3680-B2-2E17;From Gene to Function in Pathogenic Bacteria,3680 - Institut for VeterinÃ¦r Sygdomsbiologi,72787
3914-B1-1E17;Immunology,3914 - UddannelsesrÃ¥d for veterinÃ¦rvidenskab og husdyrvidenskab,72780
"2500-B5-5F17;Valgfag: Democracy, Democratisation and Civil Society in Comparative Perspective",2500 - Sociologisk Institut,67513
"2500-B5-5F17;Vf: Democracy, Democratization and Civil Soc. in Comparative Perspective",2500 - Sociologisk Institut,67512
2500-B5-5F17;Valgfag: Organizations - Innovation and change,2500 - Sociologisk Institut,67511
5550-B2-2E17;Major Subject Project,5550 - Biologisk Institut,72500
5550-B1-1E17;Python Programming,5550 - Biologisk Institut,73010
5550-B2-2E16;Biological Dynamics,5550 - Biologisk Institut,62259
5550-B1-1E17;Advanced Topics in Bioinformatics,5550 - Biologisk Institut,72822
5550-B1-1E17;Theoretical Molecular Genetics,5550 - Biologisk Institut,73042
5550-B5-5F16;Advanced Course in Protein Structure and Dynamics,5550 - Biologisk Institut,55703
5550-B1-1E17;The Human Microbiome,5550 - Biologisk Institut,73037
5100-B1-1E17;Roboteksperimentarium,5100 - Datalogisk Institut,73018
5550-B2-2E17;Macroecology and Community Ecology,5550 - Biologisk Institut,72498
5550-B2-2E16;Human Genetics,5550 - Biologisk Institut,62266
5550-B2-2E17;Genome Sequence Analysis,5550 - Biologisk Institut,72451
5550-B1-1E17;Experimental Molecular Genetics,5550 - Biologisk Institut,72890
5550-B2-2E17;Epigenetics and Cell Differentiation,5550 - Biologisk Institut,72433
5550-B2-2E17;Cellular Signalling in Health and Disease,5550 - Biologisk Institut,72394
5550-B1-1E17;Advanced Ecology,5550 - Biologisk Institut,72815
5550-B1-1E17;Advanced Cell Biology,5550 - Biologisk Institut,72812
5550-B2-2E17;Advanced Bacteriology 2,5550 - Biologisk Institut,72357
5550-B1-1E17;Advanced Bacteriology 1,5550 - Biologisk Institut,72810
"5550-B5-5F17;Belastning, transport og modellering af forurening i vandmiljÃ¸et (7,5 ECTS)",5550 - Biologisk Institut,66452
5550-B1-1E17;Principal subject in Protein Chemistry 1,5550 - Biologisk Institut,73001
5550-B1-1E17;Principal subject in Protein Chemistry 2,5550 - Biologisk Institut,73002
5550-B1-1E17;Principal subject in Molecular Microbiology 1,5550 - Biologisk Institut,72998
5550-B1-1E17;Principal Subject in Molecular Genetics 3,5550 - Biologisk Institut,72997
5550-B1-1E17;Principal subject in Molecular Genetics 2,5550 - Biologisk Institut,72996
5550-B1-1E17;Principal subject in Molecular Genetics 1,5550 - Biologisk Institut,72995
"5550-B5-5F17;Feltkursus i naturforvaltning (7,5 ECTS)",5550 - Biologisk Institut,66451
5030-B2-2E17;Quantum Optics 2,5030 - Niels Bohr Institutet,72564
5030-B2-2E17;Physics of molecular diseases,5030 - Niels Bohr Institutet,72546
5030-B5-5F17;Numerical Methods in Physics,5030 - Niels Bohr Institutet,66458
5030-B2-2E17;FÃ¸devarefysik,5030 - Niels Bohr Institutet,72446
5030-B1-1E17;Quantum Optics,5030 - Niels Bohr Institutet,73013
5030-B1-1E17;Topics in Complex Systems,5030 - Niels Bohr Institutet,73044
5030-B2-2E17;General Circulation of the Atmosphere,5030 - Niels Bohr Institutet,72449
5030-B1-1E17;From Idea to Result,5030 - Niels Bohr Institutet,72898
5030-B1-1E17;Earth and Climate Physics,5030 - Niels Bohr Institutet,72879
5030-B2-2E17;Condensed Matter Experiments,5030 - Niels Bohr Institutet,72403
5030-B1-1E17;Biophysics of Cells and Single Molecules,5030 - Niels Bohr Institutet,72856
5030-B1-1E17;Advanced Quantum Mechanics,5030 - Niels Bohr Institutet,72821
5030-B2-2E17;Medicinsk fysik 1,5030 - Niels Bohr Institutet,72508
5030-B2-2E17;Applied Statistics: From Data to Results,5030 - Niels Bohr Institutet,72376
"5030-B5-5F17;Applications of X-ray and Neutron Scattering in Biology, Chemistry and Physics",5030 - Niels Bohr Institutet,66459
5030-B2-2E17;Condensed matter physics 2,5030 - Niels Bohr Institutet,72404
5030-B2-2E17;Is og klima,5030 - Niels Bohr Institutet,72483
5210-B2-2E16;Geografiens Didaktik,5210 - Institut for Naturfagenes Didaktik,62352
5210-B2-2E16;Naturfagsdidaktik for fysik,5210 - Institut for Naturfagenes Didaktik,62351
5210-B2-2E16;Skriftlig naturvidenskabelig kommunikation og formidling,5210 - Institut for Naturfagenes Didaktik,62376
5210-B2-2E16;Naturfagsdidaktik for biologi,5210 - Institut for Naturfagenes Didaktik,62350
5410-B2-2E17;Menneskets fysiologi,5410 - Institut for IdrÃ¦t og ErnÃ¦ring,72510
5410-B2-2E17;Kvalitative metoder,5410 - Institut for IdrÃ¦t og ErnÃ¦ring,72488
5410-B1-1E17;Rehabilitering,5410 - Institut for IdrÃ¦t og ErnÃ¦ring,73014
5410-B1-1E17;Physiological Adaptations to Strength Training,5410 - Institut for IdrÃ¦t og ErnÃ¦ring,72983
5410-B1-1E17;ErnÃ¦ring af intensive patienter,5410 - Institut for IdrÃ¦t og ErnÃ¦ring,72887
5410-B2-2E16;IdrÃ¦t og ernÃ¦ring 2,5410 - Institut for IdrÃ¦t og ErnÃ¦ring,62299
5100-B1-2E17;Kursus i sundhedsrelateret velfÃ¦rdsteknologi,5100 - Datalogisk Institut,72666
5100-B2-2E17;Interactive Data Exploration,5100 - Datalogisk Institut,72473
5100-B1-1E17;Advanced Topics in Machine Learning,5100 - Datalogisk Institut,72823
5100-B1-2E17;Programmering og problemlÃ¸sning,5100 - Datalogisk Institut,72676
5100-B1-2E17;Diskret matematik og algoritmer,5100 - Datalogisk Institut,72657
5100-B2-2E17;Machine Learning,5100 - Datalogisk Institut,72497
5100-B2-2E17;Advanced Computer Systems,5100 - Datalogisk Institut,72358
5100-B2-2E17;Topics in algorithms and data structures,5100 - Datalogisk Institut,72596
5100-B1-1E17;Medical image analysis,5100 - Datalogisk Institut,72962
5100-B1-1E17;IT-projektledelse,5100 - Datalogisk Institut,72945
5100-B2-2E17;Topics in programming languages,5100 - Datalogisk Institut,72597
5100-B1-1E17;Advanced algorithms and data structures,5100 - Datalogisk Institut,72808
"5070-B5-5F17;Sampling the Soil Environment - Carbon, Nitrogen, Water and Greenhouse Gases",5070 - Institut for Geovidenskab og Naturforvaltning,66467
"5070-B2-2E17;Urban Forestry, Urban Greening",5070 - Institut for Geovidenskab og Naturforvaltning,72603
5070-B2-2E17;Planter og teknologi i landskabsarkitektur 2,5070 - Institut for Geovidenskab og Naturforvaltning,72548
5070-B1-1E17;Planter og teknologi i landskabsarkitektur 1,5070 - Institut for Geovidenskab og Naturforvaltning,72987
5070-B5-5F17;Skadedyr og sygdomme pÃ¥ skov- og bytrÃ¦er,5070 - Institut for Geovidenskab og Naturforvaltning,66463
5070-B5-5F17;GrundlÃ¦ggende Geografiske Informations Systemer & kartografi,5070 - Institut for Geovidenskab og Naturforvaltning,66461
"5070-B1-1E16;Environment, Society and development (Part 2) - Human Environment Interactions",5070 - Institut for Geovidenskab og Naturforvaltning,62606
5070-B2-2E16;Spatial Analysis,5070 - Institut for Geovidenskab og Naturforvaltning,62371
5070-B5-5F16;Naturpleje og plejeplanlÃ¦gning,5070 - Institut for Geovidenskab og Naturforvaltning,55726
5070-B2-2E16;Land Use Transitions in the Global South,5070 - Institut for Geovidenskab og Naturforvaltning,62313
5070-B2-2E17;Solid Earth Geophysics (Part 2),5070 - Institut for Geovidenskab og Naturforvaltning,72575
5070-B1-1E17;Solid Earth Geophysics (Part 1),5070 - Institut for Geovidenskab og Naturforvaltning,73025
5070-B1-2E17;Plan og design 1,5070 - Institut for Geovidenskab og Naturforvaltning,72674
5070-B1-1E16;Methods in Palaeontology,5070 - Institut for Geovidenskab og Naturforvaltning,62553
5070-B1-1E17;Introduction to Solid Earth Geophysics,5070 - Institut for Geovidenskab og Naturforvaltning,72933
5070-B2-2E17;Geopolitics of Climate Change,5070 - Institut for Geovidenskab og Naturforvaltning,72453
5070-B1-2E17;Geodesign,5070 - Institut for Geovidenskab og Naturforvaltning,72663
5070-B1-1E17;Advanced Geoinformatics,5070 - Institut for Geovidenskab og Naturforvaltning,72062
5070-B1-1E17;Design by Management,5070 - Institut for Geovidenskab og Naturforvaltning,72873
5070-B1-1E17;Climate Change and Water Resources,5070 - Institut for Geovidenskab og Naturforvaltning,72862
5070-B2-2E17;Naturressourceforvaltning,5070 - Institut for Geovidenskab og Naturforvaltning,72532
5010-B2-2E17;Topics in Algebraic Topology,5010 - Institut for Matematiske Fag,72595
5010-B2-2E17;History of Mathematics 2,5010 - Institut for Matematiske Fag,72462
5010-B2-2E17;Stochastic Processes 3,5010 - Institut for Matematiske Fag,72581
5010-B1-1E17;Stochastic Processes 2,5010 - Institut for Matematiske Fag,73030
5010-B1-1E17;Advanced Vector Spaces,5010 - Institut for Matematiske Fag,72824
5010-B2-2E17;Functional Analysis,5010 - Institut for Matematiske Fag,72444
5480-B5-5F16;Create Your Career,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,55713
5290-B1-1E16;Mundtlig naturvidenskabelig kommunikation og formidling,5290 - Statens Naturhistoriske Museum,62629
5290-B5-5F17;Forensic Geobiology,5290 - Statens Naturhistoriske Museum,66472
5290-B5-5F17;International Nature Conservation,5290 - Statens Naturhistoriske Museum,66473
5290-B1-1E17;Plant Animal Interactions. An Evolutionary Approach,5290 - Statens Naturhistoriske Museum,72984
5230-B1-2E17;Methods and Modeling in Inorganic Chemistry,5230 - Kemisk Institut,72669
5230-B5-5F16;Patent Commercialisation and Entrepreneurship,5230 - Kemisk Institut,55729
5230-B1-1E16;Advanced Crystallography,5230 - Kemisk Institut,62558
5230-B2-2E17;MiljÃ¸kemi cases og risikovurdering,5230 - Kemisk Institut,72518
5230-B1-1E17;Material Chemistry,5230 - Kemisk Institut,72960
5230-B5-5F17;Advanced Synthetic Techniques,5230 - Kemisk Institut,66470
"5520-B5-5F17;Brewing Summer Course 2,5 ECTS",5520 - Institut for FÃ¸devarevidenskab,66871
5520-B5-5F17;Aroma - the Chemistry Behind Odour,5520 - Institut for FÃ¸devarevidenskab,66874
5520-B2-2E17;Food Choice and Acceptance,5520 - Institut for FÃ¸devarevidenskab,72441
"5520-B1-1E17;FÃ¸devareproduktion, samfund og sundhed",5520 - Institut for FÃ¸devarevidenskab,72904
5520-B1-1E17;Food Quality Management and Control,5520 - Institut for FÃ¸devarevidenskab,72894
5520-B1-1E16;Food Colloids,5520 - Institut for FÃ¸devarevidenskab,62511
"5520-B5-5F17;Brewing Summer Course 7,5 ECTS",5520 - Institut for FÃ¸devarevidenskab,66873
5520-B5-5F17;Brewing Summer Course 5 ECTS,5520 - Institut for FÃ¸devarevidenskab,66872
5480-B1-1E17;Political Ecology,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,72989
5480-B2-2E17;MiljÃ¸- og planlovgivning - natur og by,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,72516
5480-B5-5F17;Sustainable Forest and Nature Management,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,66462
5480-B5-5F17;RÃ¥dgivning,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,66448
5480-B5-5F17;Econometrics 1,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,66449
5440-B5-5F17;Restoration of European Ecosystems and Freshwaters,5440 - Institut for Plante- og MiljÃ¸videnskab,66447
5440-B1-1E17;Naturressourcers kemi 1,5440 - Institut for Plante- og MiljÃ¸videnskab,72975
5440-B1-1E17;By- og landskabsplanters botanik,5440 - Institut for Plante- og MiljÃ¸videnskab,72858
5440-B2-2E17;Thematic Course: Experimental Molecular Biology II,5440 - Institut for Plante- og MiljÃ¸videnskab,72593
5440-B1-1E17;Thematic Course: Experimental Molecular Biology I,5440 - Institut for Plante- og MiljÃ¸videnskab,73040
5440-B2-2E17;Climate Solutions,5440 - Institut for Plante- og MiljÃ¸videnskab,72398
5440-B1-1E17;Basic Parasitology,5440 - Institut for Plante- og MiljÃ¸videnskab,72844
5440-B1-1E17;Advanced Carbohydrate Technologies,5440 - Institut for Plante- og MiljÃ¸videnskab,72811
5440-B1-2E17;Environmental Management in Europe,5440 - Institut for Plante- og MiljÃ¸videnskab,72660
2200-B5-5F17;Behavioral Experimental Economics,2200 - Ã˜konomisk Institut,67033
2200-B5-5F17;Datamatik 1,2200 - Ã˜konomisk Institut,67040
2200-B5-5F17;Financial Econometrics B,2200 - Ã˜konomisk Institut,67034
2200-B5-5F17;Organization Theory,2200 - Ã˜konomisk Institut,67032
2200-StudenternetvÃ¦rk,2200 - Ã˜konomisk Institut,%23SPLUSE9A7A4
2500-E17-Studerende,2500 - Sociologisk Institut,%23SPLUS81F87C
5550-B4-4F18;Molecular Biotechnology,5550 - Biologisk Institut,76586
5550-B5-5F17;Arctic Field Course,5550 - Biologisk Institut,66454
5550-B3-3F18;Fundamental Bioinformatics,5550 - Biologisk Institut,76245
5550-B3-3F18;Sensory Biology,5550 - Biologisk Institut,76377
5550-B3-3F17;Experimental Higher Model Organisms,5550 - Biologisk Institut,65475
5550-B3-3F18;Microbial Biotechnology,5550 - Biologisk Institut,76307
5550-B3-3F18;Principal subject in Molecular Genetics 2,5550 - Biologisk Institut,76350
5550-B3-3F18;Principal subject in Molecular Genetics 1,5550 - Biologisk Institut,76349
5550-B3-3F18;Principal Subject in Molecular Cell Biology 3,5550 - Biologisk Institut,76348
5550-B3-3F18;Statistics for Molecular Biomedicine,5550 - Biologisk Institut,76382
5030-B4-4F18;Advanced topics in condensed matter theory,5030 - Niels Bohr Institutet,76453
5030-B3-3F18;Quantum Nanophotonics,5030 - Niels Bohr Institutet,76369
5030-B3-3F18;Nanophysics 1 - Quantum Nanoelectronics,5030 - Niels Bohr Institutet,76318
5030-B4-4F18;Quantum Information,5030 - Niels Bohr Institutet,76622
5030-B4-4F18;The Interstellar Medium and Formation of Stars,5030 - Niels Bohr Institutet,76641
5030-B3-3F18;Physics of Biological Nonequilibrium Systems,5030 - Niels Bohr Institutet,76336
5030-B3-3F18;Particle Physics Phenomenology,5030 - Niels Bohr Institutet,76332
5030-B3-3F18;Gravitational Dynamics and Galaxy Formation,5030 - Niels Bohr Institutet,76257
5030-B3-3F18;Glacier Dynamics and Modelling,5030 - Niels Bohr Institutet,76253
5030-B4-4F18;Advanced Seismology,5030 - Niels Bohr Institutet,76451
5030-B3-3F18;Advanced Methods in Applied Statistics,5030 - Niels Bohr Institutet,76177
5030-B4-4F18;Neutron Scattering,5030 - Niels Bohr Institutet,76598
5030-B3-3F18;Experimental X-ray Physics,5030 - Niels Bohr Institutet,76238
5030-B4-4F18;Diffusive and Stochastic Processes,5030 - Niels Bohr Institutet,76501
5030-B3-3F18;Condensed matter theory 2,5030 - Niels Bohr Institutet,76218
5030-B3-3F18;The Physics of Algorithms,5030 - Niels Bohr Institutet,76392
5410-B3-3F18;Basal statistik i idrÃ¦tsvidenskab,5410 - Institut for IdrÃ¦t og ErnÃ¦ring,76197
5410-B3-3F18;Kvantitative metoder,5410 - Institut for IdrÃ¦t og ErnÃ¦ring,76291
5410-B4-4F18;Selvvalgt projektmodul - anvendt idrÃ¦tsanalyse,5410 - Institut for IdrÃ¦t og ErnÃ¦ring,76627
5410-B4-4F18;Humanistisk-samfundsvidenskabelige metoder for idrÃ¦t,5410 - Institut for IdrÃ¦t og ErnÃ¦ring,76540
5410-B3-3F18;Menneskets prÃ¦stationsevne og trÃ¦thedsudvikling,5410 - Institut for IdrÃ¦t og ErnÃ¦ring,76306
5410-B4-4F17;Anaerob trÃ¦ning,5410 - Institut for IdrÃ¦t og ErnÃ¦ring,65774
5100-B4-4F18;Randomized Algorithms,5100 - Datalogisk Institut,76623
5100-B3-4F18;Softwareudvikling,5100 - Datalogisk Institut,76707
5100-B4-4F18;Information Retrieval,5100 - Datalogisk Institut,76547
5100-B3-3F18;Interaktionsdesign,5100 - Datalogisk Institut,76276
5100-B4-4F18;Computational methods in simulation,5100 - Datalogisk Institut,76491
5100-B3-3F18;Signal and image processing,5100 - Datalogisk Institut,76379
5100-B3-3F18;Numerical Optimization,5100 - Datalogisk Institut,76322
5100-B3-3F18;Computability and complexity,5100 - Datalogisk Institut,76216
5100-B3-3F18;Semantics and types,5100 - Datalogisk Institut,76376
5070-B4-4F18;Basic Polymer Science of Biomass/Biomaterials,5070 - Institut for Geovidenskab og Naturforvaltning,76476
5070-B3-3F18;Geographical Information Systems,5070 - Institut for Geovidenskab og Naturforvaltning,76249
5070-B4-4F18;Urban Intervention Studio,5070 - Institut for Geovidenskab og Naturforvaltning,76651
5070-B3-3F18;Transformation Studio,5070 - Institut for Geovidenskab og Naturforvaltning,76397
5070-B3-3F18;Surface Hydrology,5070 - Institut for Geovidenskab og Naturforvaltning,76385
5070-B4-4F17;Stable Isotope Geochemistry,5070 - Institut for Geovidenskab og Naturforvaltning,65805
5070-B4-4F18;Natur- og parkforvaltning,5070 - Institut for Geovidenskab og Naturforvaltning,76592
5070-B3-3F18;Project Course in Geology-Geoscience,5070 - Institut for Geovidenskab og Naturforvaltning,76359
5070-B4-4F18;Project Course in Geology-Geoscience,5070 - Institut for Geovidenskab og Naturforvaltning,76616
5070-B3-3F18;Project Course in Geography and Geoinformatics,5070 - Institut for Geovidenskab og Naturforvaltning,76358
5070-B4-4F18;Project Course in Geography and Geoinformatics,5070 - Institut for Geovidenskab og Naturforvaltning,76615
"5070-B4-4F18;Programming, Customization and Automation in GIS",5070 - Institut for Geovidenskab og Naturforvaltning,76614
5070-B3-4F18;Plan og design 2,5070 - Institut for Geovidenskab og Naturforvaltning,76703
5070-B3-3F18;Lithosphere Structure from Geophysical Data,5070 - Institut for Geovidenskab og Naturforvaltning,76295
5070-B4-4F18;Landscape Studio,5070 - Institut for Geovidenskab og Naturforvaltning,76564
5070-B3-3F18;Geophysics: Global Tectonics,5070 - Institut for Geovidenskab og Naturforvaltning,76251
5070-B3-4F18;Field and Methods Course in Geography and Geoinformatics,5070 - Institut for Geovidenskab og Naturforvaltning,76711
5070-B3-3F17;Ecological Modelling,5070 - Institut for Geovidenskab og Naturforvaltning,65583
5070-B4-4F18;Aerial and Near-field Remote Sensing,5070 - Institut for Geovidenskab og Naturforvaltning,76454
5070-B3-3F17;Rural-Urban Connections in the Global South,5070 - Institut for Geovidenskab og Naturforvaltning,65577
5070-B4-4F18;Paleoclimate,5070 - Institut for Geovidenskab og Naturforvaltning,76601
5070-B3-3F18;Landskabsanalyse og Ã¸kologi,5070 - Institut for Geovidenskab og Naturforvaltning,76294
5070-B3-4F18;LÃ¦reanstalternes FÃ¦lles Byplankursus (LFB) (15 ECTS),5070 - Institut for Geovidenskab og Naturforvaltning,76700
5010-B3-3F18;Commutative Algebra,5010 - Institut for Matematiske Fag,76214
5010-B3-3F17;Euclidean Rings,5010 - Institut for Matematiske Fag,65609
5010-B3-3F18;Continuous Time Finance 2,5010 - Institut for Matematiske Fag,76219
5010-B3-3F17;Advanced Operations Research: Stochastic Programming,5010 - Institut for Matematiske Fag,65607
5010-B4-4F18;Advanced Mathematical Physics,5010 - Institut for Matematiske Fag,76447
5010-B4-4F18;LineÃ¦r algebra i datalogi,5010 - Institut for Matematiske Fag,76568
5010-B4-4F17;Operations Research 3: Hierarchical Optimization and Equilibrium,5010 - Institut for Matematiske Fag,65825
5010-B4-4F18;Introduction to Mathematical Logic,5010 - Institut for Matematiske Fag,76552
5010-B4-4F18;Lie Groups,5010 - Institut for Matematiske Fag,76566
5010-B3-3F18;Differential Operators and Function Spaces,5010 - Institut for Matematiske Fag,76222
5290-B3-3F17;Mundtlig naturvidenskabelig kommunikation og formidling,5290 - Statens Naturhistoriske Museum,65434
5290-B4-4F18;Climate Change and Biodiversity,5290 - Statens Naturhistoriske Museum,76488
5290-B4-4F18;KvartÃ¦rgeologi,5290 - Statens Naturhistoriske Museum,76562
5290-B3-3F18;Marine Mammal Biology and Research,5290 - Statens Naturhistoriske Museum,76299
5290-B3-3F18;Entomologi,5290 - Statens Naturhistoriske Museum,76232
5290-B4-4F17;Geofluids,5290 - Statens Naturhistoriske Museum,65852
5290-B4-4F18;Animal Morphology (from Sea Sponges to Vertebrates),5290 - Statens Naturhistoriske Museum,76464
5230-B4-4F18;Molecular Electronics Theory,5230 - Kemisk Institut,76587
5230-B3-4F18;Descriptive Inorganic Chemistry,5230 - Kemisk Institut,76709
5230-B3-3F18;Nanobio 3,5230 - Kemisk Institut,76317
5230-B3-3F17;Kemi for husdyrvidenskab,5230 - Kemisk Institut,65596
5230-B4-4F17;Molecular Dynamics and Chemical Kinetics,5230 - Kemisk Institut,65814
5520-B4-4F18;Food Enzymes and Applications,5520 - Institut for FÃ¸devarevidenskab,76522
5520-B4-4F18;Brewing 2,5520 - Institut for FÃ¸devarevidenskab,76485
5520-B3-3F18;Brewing 1,5520 - Institut for FÃ¸devarevidenskab,76205
5520-B3-3F18;Sensory Evaluation of Food,5520 - Institut for FÃ¸devarevidenskab,76378
5520-B3-3F18;GrundlÃ¦ggende celle- og molekylÃ¦rbiologi,5520 - Institut for FÃ¸devarevidenskab,76259
5520-B4-4F18;FÃ¸devarefremstilling og ernÃ¦ring,5520 - Institut for FÃ¸devarevidenskab,76530
5520-B3-3F18;Meat Technology and Packaging,5520 - Institut for FÃ¸devarevidenskab,76303
5520-B4-4F18;Meat Products and Innovation,5520 - Institut for FÃ¸devarevidenskab,76580
5520-B4-4F18;Food Ingredients and Structure Design,5520 - Institut for FÃ¸devarevidenskab,76523
5480-B4-4F18;Environmental and Human Health Risk Assessment of Chemicals,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76512
5480-B4-4F18;Applied Economics of Consumption,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76468
5480-B3-3F18;Natural Resource Sampling and Modelling,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76319
5480-B4-4F18;Forest and Nature Management Planning,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76524
5440-B3-3F18;Agroecology: Working with the Complexity of Farming Systems,5440 - Institut for Plante- og MiljÃ¸videnskab,76181
5440-B3-3F18;Plant Diseases,5440 - Institut for Plante- og MiljÃ¸videnskab,76340
5440-B3-3F18;Plant Genome Editing and Selection,5440 - Institut for Plante- og MiljÃ¸videnskab,76341
5440-B3-3F18;Advanced Plant Ecophysiology,5440 - Institut for Plante- og MiljÃ¸videnskab,76178
5440-B4-4F17;Naturstofkemi og mikrobiologi,5440 - Institut for Plante- og MiljÃ¸videnskab,65865
3915-B3-3F18;BesÃ¦tningsrÃ¥dgivning og veterinÃ¦r folkesundhed,3915 - BSc + MSc VeterinÃ¦r Medicin,75437
3915-B4-4F18;Bachelorprojekt,3915 - BSc + MSc VeterinÃ¦r Medicin,75382
5070-B2-2E16;Transformations of Cities and Landscapes: Globalisation and Local Strategies (Part 2),5070 - Institut for Geovidenskab og Naturforvaltning,62372
2300-Statskundskabsrevyen,2300 - Institut for Statskundskab,%23SPLUSAEDDE0
Skriftlig eksamen,5000 - Det Natur- og Biovidenskabelige Fakultet,%23SPLUS15A0AA
"Agrobusiness and Innovation, CBS kursus",5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,%23SPLUSE099D2
5070-B1-2E16;DriftsÃ¸konomi,5070 - Institut for Geovidenskab og Naturforvaltning,63812
5070-B1-2E17;Profession og praksis,5070 - Institut for Geovidenskab og Naturforvaltning,71811
5070-B1-2E17;Professionsintroduktion,5070 - Institut for Geovidenskab og Naturforvaltning,71815
5070-B1-2E17;Naturforvaltning og samfund,5070 - Institut for Geovidenskab og Naturforvaltning,71813
5070-B1-2E17;Skovdrift og samfund,5070 - Institut for Geovidenskab og Naturforvaltning,71814
5070-B1-1E17;Jura,5070 - Institut for Geovidenskab og Naturforvaltning,71819
"3934-E17;MiljÃ¸faktorer, arbejdsmiljÃ¸ og heldbred",3934 - BSc + MSc Folkesundhedsvidenskab,69626
3917-B1-1E17;Advanced Quantitative Methods in Herd Management,3917 - MSc Animal Science,72804
3914-B1-1E17;Klima i og omkring stalde,3914 - UddannelsesrÃ¥d for veterinÃ¦rvidenskab og husdyrvidenskab,72781
5550-B2-2E17;Climate Change and Biogeochemical Cycles,5550 - Biologisk Institut,72395
5550-B2-2E17;Methodology and Sampling in Environmental Management,5550 - Biologisk Institut,72512
5550-B2-2E17;Immunology,5550 - Biologisk Institut,72470
5550-B2-2E17;Protists - Eukaryotic Microbiology,5550 - Biologisk Institut,72560
5550-B2-2E17;Soil Biology,5550 - Biologisk Institut,72574
5550-B2-2E17;Nanobio 2,5550 - Biologisk Institut,72528
5550-B2-2E17;Molecular Neurobiology,5550 - Biologisk Institut,72523
"5550-B2-2E17;MolekylÃ¦rbiologi, genetik og bioteknologi",5550 - Biologisk Institut,72526
5550-B2-2E17;Conservation,5550 - Biologisk Institut,72407
5030-B2-2E17;Computational astrophysics: star and planet formation,5030 - Niels Bohr Institutet,72401
5030-B2-2E17;Measurement and Control in Experimental Physics,5030 - Niels Bohr Institutet,72507
5070-B2-2E16;Health Design,5070 - Institut for Geovidenskab og Naturforvaltning,62238
5070-B2-2E17;Landscape and Restoration Ecology,5070 - Institut for Geovidenskab og Naturforvaltning,72493
5070-B2-2E17;The Urbanism Studio,5070 - Institut for Geovidenskab og Naturforvaltning,72604
5070-B2-2E16;Remote Sensing of the Bio-Geosphere ( Part 2),5070 - Institut for Geovidenskab og Naturforvaltning,62374
5070-B2-2E16;Environmental Soil Sciences (Part 2),5070 - Institut for Geovidenskab og Naturforvaltning,62373
5070-B2-2E17;Globale geosystemer,5070 - Institut for Geovidenskab og Naturforvaltning,72454
5070-B2-2E17;GrundlÃ¦ggende palÃ¦ontologi og fossil invertebrater,5070 - Institut for Geovidenskab og Naturforvaltning,72459
5070-B2-2E16;Past Climate and Sea Level: Processes and Proxies (part 2),5070 - Institut for Geovidenskab og Naturforvaltning,62317
5070-B2-2E17;Water Resources (part 2),5070 - Institut for Geovidenskab og Naturforvaltning,72610
"5070-B2-2E16;Sedimentary Basins - Evolution, Environments and Resources (part 2)",5070 - Institut for Geovidenskab og Naturforvaltning,62315
5070-B2-2E17;Core to Crust: Earth`s Evolution and Processes (part 2),5070 - Institut for Geovidenskab og Naturforvaltning,72413
5070-B1-1E17;Core to Crust: Earth`s Evolution and Processes (part 1),5070 - Institut for Geovidenskab og Naturforvaltning,72870
"5070-B2-2E16;Coastal, Estuarine and Fluvial Geoscience (part 2)",5070 - Institut for Geovidenskab og Naturforvaltning,62318
5070-B2-2E17;Statistik i geoscience,5070 - Institut for Geovidenskab og Naturforvaltning,72579
5010-B2-2E16;Quantum Information Theory,5010 - Institut for Matematiske Fag,62332
5010-B2-2E17;Non-commutative Geometry,5010 - Institut for Matematiske Fag,72536
